cq18_001_001;00:00:00:03
cq18_002_005;00:01:18:13
cq18_002_004;00:01:00:06
cq18_002_003;00:00:44:15
cq18_002_002;00:00:34:13
cq18_002_001;00:00:15:07
cq18_003_003;00:00:21:20
cq18_003_002;00:00:09:21
cq18_003_001;00:00:01:00
cq18_004_001;00:00:00:08
cq18_005_001;00:00:01:03
cq18_006_003;00:01:02:16
cq18_006_002;00:00:31:05
cq18_006_001;00:00:25:22
cq18_007_001;00:00:02:13
cq18_008_002;00:00:05:15
cq18_008_001;00:00:00:13
cq18_009_002;00:00:09:03
cq18_009_001;00:00:00:00
cq18_010_002;00:00:02:16
cq18_010_001;00:00:00:00
cq18_011_001;00:00:02:22
cq18_012_002;00:00:02:13
cq18_012_001;00:00:00:08
cq18_013_001;00:00:00:00
cq18_013_002;00:00:01:09
cq18_013_003;00:00:08:17
cq18_013_004;00:00:16:10
cq18_013_005;00:00:20:13
cq18_013_006;00:00:22:20
cq18_013_007;00:00:31:12
cq18_015_001;00:00:41:10
cq18_016_001;00:00:00:00
cq18_017_001;00:00:00:04
cq18_017_002;00:00:16:05
cq18_017_003;00:00:36:13
cq18_017_004;00:00:47:18
cq18_018_001;00:00:14:23
cq18_018_002;00:00:27:16
cq18_018_003;00:00:56:20
cq18_018_004;00:01:13:13
cq18_018_005;00:01:29:22
cq18_018_006;00:01:37:05
cq18_019_001;00:00:00:16
cq18_019_002;00:00:05:16
cq18_019_003;00:00:16:20
cq18_019_004;00:00:20:15
cq18_020_001;00:00:03:13
cq18_020_002;00:00:12:03
cq18_020_003;00:00:24:10
cq18_020_004;00:01:09:15
cq18_020_005;00:01:14:03
cq18_020_006;00:01:26:09
cq18_020_007;00:01:32:01
cq18_021_001;00:00:10:21
cq18_021_002;00:00:24:08
cq18_021_003;00:00:36:22
cq18_021_004;00:00:56:24
cq18_021_005;00:01:09:11
cq18_021_006;00:01:16:18
cq18_021_007;00:01:24:18
cq18_021_008;00:01:36:20
cq18_021_009;00:01:44:05
