bc11	5	[004]	[004_001]	Loại 1	1_5_004	00:00:10:29	bc11_5_004_004_001.avi
bc15	5	[010]	[010_002]	Loại 1	5_5_010	00:00:02:09	bc15_5_010_010_002.avi
bc15	5	[011]	[011_002]	Loại 1	5_5_011	00:00:02:00	bc15_5_011_011_002.avi
bc15	5	[012]	[012_002]	Loại 1	5_5_012	00:00:01:08	bc15_5_012_012_002.avi
bc16	5	[002]	[002_002]	Loại 1	6_5_002	00:00:03:20	bc16_5_002_002_002.avi
bc18	5	[001]	[001_001]	loai 2	8_5_001	00:00:23:22	bc18_5_001_001_001.avi
bc19	5	[001]	[001_002]	Loại 1	9_5_001	00:00:03:14	bc19_5_001_001_002.avi
bc19	5	[002]	[002_004]	Loại 1	9_5_002	00:00:22:23	bc19_5_002_002_004.avi
bc1	4	[010]	[001]		1_4_010	00:00:00:01	bc1_4_010_001.avi
bc1	4	[010]	[002]		1_4_010	00:00:02:17	bc1_4_010_002.avi
bc1	4	[010]	[003]		1_4_010	00:00:06:05	bc1_4_010_003.avi
bc1	4	[015]	[001]		1_4_015	00:00:20:12	bc1_4_015_001.avi
bc1	4	[015]	[002]		1_4_015	00:00:43:09	bc1_4_015_002.avi
bc3	4	[007]	[001]	loai 1	3_4_007	00:00:02:07	bc3_4_007_001.avi
bc3	4	[007]	[002]	loai 1	3_4_007	00:00:04:19	bc3_4_007_002.avi
bc3	4	[008]	[001]	loai 1	3_4_008	00:00:01:19	bc3_4_008_001.avi
bc3	4	[015]	[001]	loai 1	3_4_015	00:00:19:28	bc3_4_015_001.avi
bc3	4	[018]	[001]	loai 1	3_4_018	00:00:00:00	bc3_4_018_001.avi
bc3	4	[019]	[001]	loai 1	3_4_019	00:00:01:05	bc3_4_019_001.avi
bc3	5	[014]	[001]	loai 1	3_5_014	00:00:01:14	bc3_5_014_001.avi
bc3	5	[014]	[002]	loai 1	3_5_014	00:00:51:22	bc3_5_014_002.avi
bc3	5	[019]	[001]	loai 1	3_5_019	00:00:07:05	bc3_5_019_001.avi
bc4	4	[028]	[002]	Loại 2	4_4_028	00:00:21:22	bc4_4_028_002.avi
bc4	4	[028]	[003]	Loại 2	4_4_028	00:00:44:14	bc4_4_028_003.avi
bc5	1	[090]	[001]	Loại 1	5_1_090	00:00:15:07	bc5_1_090_001.avi
bc5	1	[090]	[002]	Loại 1	5_1_090	00:00:21:16	bc5_1_090_002.avi
bc5	4	[002]	[001]	Loại 1	5_4_002	00:00:01:16	bc5_4_002_001.avi
bc5	4	[011]	[001]	Loại 1	5_4_011	00:00:16:22	bc5_4_011_001.avi
bc5	5	[018]	[001]	Loại 1	5_5_018	00:00:02:05	bc5_5_018_001.avi
bc5	5	[018]	[002]	Loại 1	5_5_018	00:00:06:01	bc5_5_018_002.avi
bc5	5	[018]	[003]	Loại 1	5_5_018	00:00:08:28	bc5_5_018_003.avi
bc5	5	[018]	[004]	Loại 1	5_5_018	00:00:12:13	bc5_5_018_004.avi
bc5	5	[018]	[005]	Loại 1	5_5_018	00:00:14:06	bc5_5_018_005.avi
bc5	5	[018]	[006]	Loại 1	5_5_018	00:00:22:09	bc5_5_018_006.avi
bc5	5	[019]	[002]	Loại 1	5_5_019	00:00:03:25	bc5_5_019_002.avi
bc6	4	[008]	[001]	Loại 1	6_4_008	00:00:00:00	bc6_4_008_001.avi
bc6	4	[008]	[002]	Loại 1	6_4_008	00:00:01:05	bc6_4_008_002.avi
bc6	4	[008]	[003]	Loại 1	6_4_008	00:00:03:24	bc6_4_008_003.avi
bc6	4	[008]	[004]	Loại 1	6_4_008	00:00:05:18	bc6_4_008_004.avi
bc6	4	[008]	[005]	Loại 1	6_4_008	00:00:08:29	bc6_4_008_005.avi
bc6	4	[009]	[001]	Loại 1	6_4_009	00:00:01:05	bc6_4_009_001.avi
bc6	4	[009]	[002]	Loại 1	6_4_009	00:00:06:26	bc6_4_009_002.avi
bc6	4	[009]	[003]	Loại 1	6_4_009	00:00:07:21	bc6_4_009_003.avi
bc6	4	[009]	[004]	Loại 1	6_4_009	00:00:09:15	bc6_4_009_004.avi
bc6	4	[009]	[005]	Loại 1	6_4_009	00:00:11:02	bc6_4_009_005.avi
bc6	4	[009]	[006]	Loại 1	6_4_009	00:00:12:03	bc6_4_009_006.avi
bc6	4	[010]	[001]	Loại 1	6_4_010	00:00:01:21	bc6_4_010_001.avi
bc6	4	[010]	[002]	Loại 1	6_4_010	00:00:03:12	bc6_4_010_002.avi
bc6	4	[010]	[003]	Loại 1	6_4_010	00:00:04:29	bc6_4_010_003.avi
bc6	4	[010]	[004]	Loại 1	6_4_010	00:00:08:11	bc6_4_010_004.avi
bc6	4	[010]	[005]	Loại 1	6_4_010	00:00:10:16	bc6_4_010_005.avi
bc6	4	[010]	[006]	Loại 1	6_4_010	00:00:23:02	bc6_4_010_006.avi
bc6	4	[010]	[007]	Loại 1	6_4_010	00:00:25:15	bc6_4_010_007.avi
bc6	4	[010]	[008]	Loại 1	6_4_010	00:00:28:29	bc6_4_010_008.avi
bc6	4	[011]	[001]	Loại 1	6_4_011	00:00:00:00	bc6_4_011_001.avi
bc6	4	[011]	[002]	Loại 1	6_4_011	00:00:12:12	bc6_4_011_002.avi
bc6	4	[012]	[001]	Loại 1	6_4_012	00:00:00:00	bc6_4_012_001.avi
bc6	4	[013]	[001]	Loại 1	6_4_013	00:00:00:00	bc6_4_013_001.avi
bc6	4	[013]	[002]	Loại 1	6_4_013	00:00:09:14	bc6_4_013_002.avi
bc6	4	[014]	[001]	Loại 1	6_4_014	00:00:00:00	bc6_4_014_001.avi
bc6	4	[014]	[002]	Loại 1	6_4_014	00:00:07:15	bc6_4_014_002.avi
bc6	5	[025]	[001]		6_5_025	00:00:06:08	bc6_5_025_001.avi
bc6	5	[025]	[002]		6_5_025	00:00:15:14	bc6_5_025_002.avi
bc6	5	[025]	[003]		6_5_025	00:00:24:00	bc6_5_025_003.avi
bc6	5	[025]	[004]		6_5_025	00:00:30:09	bc6_5_025_004.avi
bc6	5	[026]	[001]		6_5_026	00:00:05:18	bc6_5_026_001.avi
bc6	5	[026]	[002]		6_5_026	00:00:12:13	bc6_5_026_002.avi
bc6	5	[026]	[003]		6_5_026	00:00:25:04	bc6_5_026_003.avi
bc6	5	[027]	[001]		6_5_027	00:00:02:19	bc6_5_027_001.avi
